Metric,Rate_A,Rate_B,Success_A,Success_B,Total_A,Total_B,Z_Statistic,P_Value
CTR,0.47706422018348627,0.5447154471544715,52,67,109,123,-1.0288990645615317,0.303527108005628
Add-to-Cart Rate,0.1926605504587156,0.23577235772357724,21,29,109,123,-0.797049566687681,0.4254222449107481
