Metric,Mean_A,Mean_B,Std_A,Std_B,N_A,N_B,Test_Statistic,P_Value,Cohens_d
Willingness,2.5510204081632653,3.3934426229508197,1.1736911946539275,1.255370974713453,49,61,-3.626933394185542,0.00044364386266994673,-0.6906547643499089
Embarrassment,3.2115384615384617,1.9310344827586208,1.0907191091029314,1.023617063909605,52,58,6.328311637374512,6.230027274676217e-09,1.2127871582547063
